Timestamp,acc.z,pm.vbat,stabilizer.intToOut,stabilizer.thrust,stateEstimate.az
49613,-0.5592913627624512,3.7583577632904053,49015318,52000.0,-0.42306745052337646
49623,-0.30843931436538696,3.7583577632904053,49025191,52000.0,-0.7053238749504089
49633,-0.14222154021263123,3.763636350631714,49035082,52000.0,-0.8468524217605591
49643,-0.20283356308937073,3.763636350631714,49044964,52000.0,-0.8057141304016113
49653,-0.38123923540115356,3.7689149379730225,49054853,52000.0,-0.6678975224494934
49663,-0.4570418894290924,3.7689149379730225,49064747,52000.0,-0.6543666124343872
49673,-0.5899443626403809,3.774193525314331,49074625,52000.0,-0.7187961339950562
49683,-2.679976463317871,3.774193525314331,49084523,52000.0,-0.047869741916656494
49693,-5.728621959686279,3.7689149379730225,49094403,52000.0,2.3015482425689697
49703,-1.4496098756790161,3.7689149379730225,49104287,52000.0,0.2952615022659302
49713,0.33507925271987915,3.7689149379730225,49114175,52000.0,-1.077041506767273
49723,0.1330377459526062,3.7689149379730225,49124068,52000.0,-1.057167887687683
49733,-0.41971006989479065,3.763636350631714,49133958,52000.0,-0.7526664137840271
49743,-0.5120471119880676,3.7689149379730225,49143844,52000.0,-0.7319492697715759
49753,-0.6103315353393555,3.774193525314331,49153725,52000.0,-0.7210032939910889
49763,-2.2637202739715576,3.7794721126556396,49163613,52000.0,0.1758875846862793
49773,-2.171799898147583,3.7794721126556396,49173507,52000.0,0.38423383235931396
49783,-0.7257765531539917,3.7794721126556396,49183398,52000.0,-0.5253974795341492
49793,-0.35426628589630127,3.774193525314331,49193275,52000.0,-0.8473909497261047
49803,-0.7116999626159668,3.774193525314331,49203167,52000.0,-0.7211248874664307
49813,-1.319211483001709,3.7689149379730225,49213060,52000.0,-0.37463808059692383
49823,-1.368359923362732,3.7689149379730225,49222942,52000.0,-0.14602774381637573
49833,-0.8879112601280212,3.7689149379730225,49232829,52000.0,-0.45284873247146606
49843,-0.9030619859695435,3.7689149379730225,49242719,52000.0,-0.5562946200370789
49853,-1.0754833221435547,3.774193525314331,49252612,52000.0,-0.39681679010391235
49863,-1.0398716926574707,3.774193525314331,49262498,52000.0,-0.4183505177497864
49873,-0.9970448613166809,3.7794721126556396,49272382,52000.0,-0.4481774568557739
49883,-1.0262528657913208,3.7794721126556396,49282263,52000.0,-0.434093177318573
49893,-1.0154253244400024,3.7794721126556396,49292151,52000.0,-0.434478223323822
49903,-1.0122578144073486,3.7794721126556396,49302043,52000.0,-0.4407860040664673
49913,-1.0236876010894775,3.774193525314331,49311932,52000.0,-0.42977941036224365
49923,-1.0154919624328613,3.774193525314331,49321822,52000.0,-0.43567270040512085
49933,-1.023390531539917,3.774193525314331,49331708,52000.0,-0.42912834882736206
49943,-1.015606164932251,3.774193525314331,49341591,52000.0,-0.4327744245529175
49953,-1.018758773803711,3.774193525314331,49351479,52000.0,-0.43120265007019043
49963,-1.0146607160568237,3.7794721126556396,49361367,52000.0,-0.4336434006690979
49973,-1.017693281173706,3.7847506999969482,49371253,52000.0,-0.43178755044937134
49983,-1.0190595388412476,3.7794721126556396,49381142,52000.0,-0.4290394186973572
49993,-1.019563913345337,3.7794721126556396,49391037,52000.0,-0.42681217193603516
50003,-1.0175715684890747,3.7794721126556396,49400915,52000.0,-0.4280959367752075
50013,-1.0186370611190796,3.7794721126556396,49410805,52000.0,-0.42703568935394287
50023,-1.0178675651550293,3.774193525314331,49420690,49783.0,-0.42516565322875977
50033,-1.0173674821853638,3.774193525314331,49430582,49783.0,-0.4252418875694275
50043,-1.0165475606918335,3.7794721126556396,49440469,37550.0,-0.42451345920562744
50053,-1.0183639526367188,3.7847506999969482,49450359,29250.0,-0.42166101932525635
50063,-1.0207405090332031,3.7847506999969482,49460241,29051.0,-0.42059093713760376
